INFO    list of variables ['conv2d/kernel:0', 'Variable:0', 'Variable_1:0', 'conv2d_1/kernel:0', 'Variable_2:0', 'Variable_3:0', 'dense/kernel:0', 'dense/bias:0', 'dense_1/kernel:0', 'dense_1/bias:0', 'dense_2/kernel:0', 'dense_2/bias:0', 'dense_3/kernel:0', 'dense_3/bias:0']
INFO    Epoch 0: Loss: 1.100081443786621, accuracy: 0.0949999988079071
INFO    (Test(batch):   Loss: 0.7824340462684631, accuracy: 0.10499999672174454
INFO    Epoch 100: Loss: 0.31554582715034485, accuracy: 0.20000000298023224
INFO    (Test(batch):   Loss: 0.296523779630661, accuracy: 0.3050000071525574
INFO    Epoch 200: Loss: 0.17566992342472076, accuracy: 0.6899999976158142
INFO    (Test(batch):   Loss: 0.18859973549842834, accuracy: 0.6399999856948853
INFO    Epoch 300: Loss: 0.04705975577235222, accuracy: 0.8999999761581421
INFO    (Test(batch):   Loss: 0.04901427403092384, accuracy: 0.9049999713897705
INFO    Epoch 400: Loss: 0.03491152077913284, accuracy: 0.9449999928474426
INFO    (Test(batch):   Loss: 0.029810968786478043, accuracy: 0.949999988079071
INFO    Epoch 500: Loss: 0.01832256279885769, accuracy: 0.9750000238418579
INFO    (Test(batch):   Loss: 0.018385283648967743, accuracy: 0.9700000286102295
INFO    Epoch 600: Loss: 0.03300413489341736, accuracy: 0.949999988079071
INFO    (Test(batch):   Loss: 0.018419677391648293, accuracy: 0.9750000238418579
INFO    Epoch 700: Loss: 0.015841994434595108, accuracy: 0.9800000190734863
INFO    (Test(batch):   Loss: 0.011332018300890923, accuracy: 0.9750000238418579
INFO    Epoch 800: Loss: 0.01876932755112648, accuracy: 0.9700000286102295
INFO    (Test(batch):   Loss: 0.010465610772371292, accuracy: 0.9900000095367432
INFO    Epoch 900: Loss: 0.014505358412861824, accuracy: 0.9700000286102295
INFO    (Test(batch):   Loss: 0.011774548329412937, accuracy: 0.9750000238418579
INFO    Epoch 1000: Loss: 0.03203219175338745, accuracy: 0.9649999737739563
INFO    (Test(batch):   Loss: 0.03170201927423477, accuracy: 0.9599999785423279
INFO    Epoch 1100: Loss: 0.007181130349636078, accuracy: 0.9950000047683716
INFO    (Test(batch):   Loss: 0.019637957215309143, accuracy: 0.9599999785423279
INFO    Epoch 1200: Loss: 0.011089270003139973, accuracy: 0.9850000143051147
INFO    (Test(batch):   Loss: 0.016033779829740524, accuracy: 0.9800000190734863
INFO    Epoch 1300: Loss: 0.02287503518164158, accuracy: 0.9599999785423279
INFO    (Test(batch):   Loss: 0.011043866164982319, accuracy: 0.9850000143051147
INFO    Epoch 1400: Loss: 0.013526186347007751, accuracy: 0.9750000238418579
INFO    (Test(batch):   Loss: 0.014352488331496716, accuracy: 0.9700000286102295
INFO    Epoch 1500: Loss: 0.011503526009619236, accuracy: 0.9850000143051147
INFO    (Test(batch):   Loss: 0.014536948874592781, accuracy: 0.9649999737739563
INFO    Epoch 1600: Loss: 0.014271537773311138, accuracy: 0.9700000286102295
INFO    (Test(batch):   Loss: 0.01083636935800314, accuracy: 0.9850000143051147
INFO    Epoch 1700: Loss: 0.006846899166703224, accuracy: 0.9850000143051147
INFO    (Test(batch):   Loss: 0.018295245245099068, accuracy: 0.9649999737739563
INFO    Epoch 1800: Loss: 0.010239881463348866, accuracy: 0.9900000095367432
INFO    (Test(batch):   Loss: 0.013015330769121647, accuracy: 0.9800000190734863
INFO    Epoch 1900: Loss: 0.006375196855515242, accuracy: 0.9850000143051147
INFO    (Test(batch):   Loss: 0.008128311485052109, accuracy: 0.9900000095367432
INFO    Epoch 2000: Loss: 0.010790656320750713, accuracy: 0.9850000143051147
INFO    (Test(batch):   Loss: 0.014779342338442802, accuracy: 0.9750000238418579
INFO    Epoch 2100: Loss: 0.009335357695817947, accuracy: 0.9800000190734863
INFO    (Test(batch):   Loss: 0.015533908270299435, accuracy: 0.9700000286102295
INFO    Epoch 2200: Loss: 0.010210981592535973, accuracy: 0.9850000143051147
INFO    (Test(batch):   Loss: 0.006706940475851297, accuracy: 0.9950000047683716
INFO    Epoch 2300: Loss: 0.007802652195096016, accuracy: 0.9950000047683716
INFO    (Test(batch):   Loss: 0.005914309062063694, accuracy: 0.9850000143051147
INFO    Epoch 2400: Loss: 0.005704604089260101, accuracy: 0.9900000095367432
INFO    (Test(batch):   Loss: 0.005269262008368969, accuracy: 0.9950000047683716
INFO    Epoch 2500: Loss: 0.0029843696393072605, accuracy: 0.9950000047683716
INFO    (Test(batch):   Loss: 0.0038501061499118805, accuracy: 1.0
INFO    Epoch 2600: Loss: 0.006387671921402216, accuracy: 0.9950000047683716
INFO    (Test(batch):   Loss: 0.013887971639633179, accuracy: 0.9750000238418579
INFO    Epoch 2700: Loss: 0.007741298992186785, accuracy: 0.9900000095367432
INFO    (Test(batch):   Loss: 0.009415550157427788, accuracy: 0.9800000190734863
INFO    Epoch 2800: Loss: 0.002043637912720442, accuracy: 1.0
INFO    (Test(batch):   Loss: 0.006305801682174206, accuracy: 0.9950000047683716
INFO    Epoch 2900: Loss: 0.009291404858231544, accuracy: 0.9800000190734863
INFO    (Test(batch):   Loss: 0.011922765523195267, accuracy: 0.9850000143051147
INFO    Epoch 3000: Loss: 0.006162943318486214, accuracy: 0.9850000143051147
INFO    (Test(batch):   Loss: 0.006001700647175312, accuracy: 0.9900000095367432
INFO    Epoch 3100: Loss: 0.015044466592371464, accuracy: 0.9750000238418579
INFO    (Test(batch):   Loss: 0.00458386167883873, accuracy: 0.9950000047683716
